
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000121                       # Number of seconds simulated (Second)
simTicks                                    120755000                       # Number of ticks simulated (Tick)
finalTick                                   120755000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.38                       # Real time elapsed on the host (Second)
hostTickRate                                 35712015                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1233768                       # Number of bytes of host memory used (Byte)
simInsts                                       213253                       # Number of instructions simulated (Count)
simOps                                         215607                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    63053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      63748                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           120756                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.566257                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.765983                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          226300                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      320                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         225188                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     77                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                11012                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              5174                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              106495                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.114541                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.042699                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     31751     29.81%     29.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     20793     19.52%     49.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      9630      9.04%     58.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     20177     18.95%     77.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      9665      9.08%     86.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      6217      5.84%     92.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      4672      4.39%     96.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1893      1.78%     98.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1697      1.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                106495                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    2064     43.60%     43.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     43.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     43.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     43.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     43.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     43.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                   62      1.31%     44.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     44.91% # attempts to use FU when none available (Count)
